Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;
CRV+cvxCRV ;0xfb18127c1471131468a1aad4785c19678e521d86;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;186.918579086917626992;
FRAX+USDe ;0xb53c23d2cc6219adf78ea22bfd38bffc50ec54cb;CVG;0x97efFB790f2fbB701D88f89DB4521348A2B77be8;382.746786534604329106;
crvUSD+zunUSD ;0xB1A829a05E618F7C4f50Cb86f8F64Fb86e42dE5a;ZUN;0x6b5204B0Be36771253Cc38e88012E02B752f0f36;10905.13267329970744827;
