Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
cake;WETH-DEGEN / Base BRIL#1;0x5308a901E12995f9ebbD76A82712FD4AF97325BF;Stake DAO CAKE;0x6a1c1447f97b27da23dc52802f5f1435b5ac821a;384.171;384.171;8.777
cake;USDT-EYWA / BNB Smart Chain;0xA1D4d0E50cbe0B6CbE6f06e192Cb5D00fa248813;EYWA;0x7a10f506e4c7658e6ad15fdf0443d450b7fa80d7;12674.777;232.057;5.302
cake;SDT-WETH / Arbitrum One BRIL#3;0x7ECeC5056b86fD61F27038201dB7586cB1EB2DCF;Stake DAO CAKE;0x6a1c1447f97b27da23dc52802f5f1435b5ac821a;17.899;17.899;0.409
cake;SDT-WETH / Arbitrum One BRIL#4;0x718a0C0D94f5601C1F0bFd05E71590F81Cf8B414;Stake DAO CAKE;0x6a1c1447f97b27da23dc52802f5f1435b5ac821a;20.165;20.165;0.461
cake;PEPE-WBNB / BNB Smart Chain;0xdD82975ab85E745c84e497FD75ba409Ec02d4739;Pepe;0x25d887ce7a35172c62febfd67a1856f20faebb00;274179342.808;1549.636;35.405
cake;INSP-WETH / Ethereum;0xBC7766aE74f38f251683633d50Cc2C1CD14aF948;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;33980.563;117.506;2.685
cake;INSP-USDT / Ethereum;0xEd4D5317823Ff7BC8BB868C1612Bb270a8311179;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;8959.324;30.982;0.708
cake;BNB-USDT / BNB Smart Chain;0x172fcD41E0913e95784454622d1c3724f546f849;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;590.533;803.569;18.36
cake;CAKE-USDT / BNB Smart Chain;0x7f51c8AaA6B0599aBd16674e2b17FEc7a9f674A1;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;897.202;1220.871;27.894
