address,weighted_balance_wei,weighted_balance,share_pct
0xD77696AefA3B07f06785C751014E13b2F915Bf0E,6073793313331014496110,6073.79331333101449611,0.266011
0xfaf70504d2e0637a8289A31e153D1A735e5bEBAf,6017126851525418149374,6017.126851525418149374,0.263529
0x1A31C94f97C649bC2a8aDbCeb54D1f4a075be4b1,5611060694976548309070,5611.06069497654830907,0.245745
0x860b7Abd16672B33Bab84679526227adb283ed8f,5184217871575913486530,5184.21787157591348653,0.227051
0xDbE0c28c273bbB10a632B1aaf65AC2B877bb2b92,5006507113341016107693,5006.507113341016107693,0.219268
0x22B5629CE137D9B714fD22fbAF19CCbF5f04e58E,5000366743305652694345,5000.366743305652694345,0.218999
0xC69aDcA4485C0C494f34e9Aa6b0A31f343f76411,4722000000000000000000,4722,0.206807
0x23F1045cA09E9c3206851336a2a05d35bBC812d3,4592139801604279954533,4592.139801604279954533,0.201120
0x49De76E8e7c1b6a974D6B766B9b5F5d199566e94,4558685831631443906040,4558.68583163144390604,0.199655
0x626117573214aF3Df54d387ff6CA254023268dAd,4295472685214786725743,4295.472685214786725743,0.188127
0x84e4384Ae224f8627bc5Fa7A0cA51EF79330190D,4294548810349741786726,4294.548810349741786726,0.188086
0x8e0eA550BfB47c4897c1a2b880f750cEED206ca1,4198820502987005391592,4198.820502987005391592,0.183894
0x7bB05D02Aa8D63A58C84A011652C215C2c163Fb7,4195048732447647774247,4195.048732447647774247,0.183729
0x2E15D7AA0650dE1009710FDd45C3468d75AE1392,4128327828753953675425,4128.327828753953675425,0.180806
0x636dF4BD62E1Eb3477c0dBAFc8cD8C5Dd8B3A972,3932249864870761152127,3932.249864870761152127,0.172219
0x47930c76790C865217472f2dDB4d14c640ee450a,3729350415523054792280,3729.35041552305479228,0.163333
0x367aF3cB87e66bc5942341883F66d24c1BB9a0D0,3703664154482699011208,3703.664154482699011208,0.162208
0xE158C62b09dCCf69009822199Ab6D31a683245Dc,3640021621512705098874,3640.021621512705098874,0.159420
0x3813f200FB50999Ed22B5a1645ba1c3eC6c10bb0,3563644375317053759114,3563.644375317053759114,0.156075
0x009d13E9bEC94Bf16791098CE4E5C168D27A9f07,3535838773334384178098,3535.838773334384178098,0.154858
0x52761A16F1053FCef0d3Cf233522e78F5593CBdd,3351136634342076314063,3351.136634342076314063,0.146768
0x81AcBa11a66E9EdEABaA2Ff28101153724892eB7,3330911430779270483979,3330.911430779270483979,0.145882
0xfaC2F11ba2577D5122DC1EC5301d35B16688251E,3245861955787687928733,3245.861955787687928733,0.142158
0x8E8Fc4ed48334a4a49b004170063AF228DDb5aDB,3119728792167646950089,3119.728792167646950089,0.136633
0x8a9D46d28003673Cd4FE7a56EcFCFA2BE6372e64,3045938077169303221393,3045.938077169303221393,0.133402
0x1fc1bd4a9854d5BaAe2c02E0F92124b27c7771A9,2928648589719046204284,2928.648589719046204284,0.128265
0xC7aDC31d7B180B0Ee4Ac3737Aab8114021ab8Fd9,2772584222634340991785,2772.584222634340991785,0.121430
0xF98CBd8047D42C8B31D29E115ded7524B056ca94,2751930787959916422104,2751.930787959916422104,0.120525
0x99ab0afB022aA3CC3c986CC66dee014a4918Df0b,2633003026898888071312,2633.003026898888071312,0.115316
0x119357D6Ace3942901b1Fc57021B80B2A43A6051,2543400203350608689088,2543.400203350608689088,0.111392
0x71F12a5b0E60d2Ff8A87FD34E7dcff3c10c914b0,2465154450904381293942,2465.154450904381293942,0.107965
0xaB699b1BB3fE0eB9884213AB91D86f06fB33499d,2451896997371846145105,2451.896997371846145105,0.107385
0xeB6B72D7C7607Eaf8096dADf5b2c2Fbf0d326b6D,2144947064610982057122,2144.947064610982057122,0.093941
0xbfEA05f63Baeaaa3a65c5c016C933A3ff4B8411A,2126703272530199780345,2126.703272530199780345,0.093142
0x562f019e21eFf3DBa7401A569fdC7676ABfA4bc6,2115395193008608453557,2115.395193008608453557,0.092647
0xCdbe2929B64DFF847B993202bEba275fB960d859,2037645563474808785439,2037.645563474808785439,0.089242
0x321516d8fe2083EEEba69A1babB8Fd7969493B1B,2020631902003290598743,2020.631902003290598743,0.088497
0x5470DcE597420Cd3A5B3512CEDb1557DeA9bAC1c,1948703154517976770882,1948.703154517976770882,0.085346
0x9f5e6aF744a137C9feFeeDfb6b706B0640a57673,1863640170269173203745,1863.640170269173203745,0.081621
0xea2dEc40B72604A4f9c6d9fa608b8643ACcDC25A,1597821388308771304165,1597.821388308771304165,0.069979
0x87D85563Cb8911434CeacEAf00785C8071441655,1500097782260000000000,1500.09778226,0.065699
0xE458da7ff3434AEdC802C11FbFC989C499F40250,1401358255146962839465,1401.358255146962839465,0.061375
0x95B8Ec85A3d5dE4985D11A8ea028B52DBA52afCc,1376200075767817098442,1376.200075767817098442,0.060273
0x4dC97041D9f37B3b89D793CbF9b8313f36266E15,1310659200665241769657,1310.659200665241769657,0.057402
0x4A5206E0416BD8dF3F2A73BFc8D29bcfEC909984,1301617778160170288429,1301.617778160170288429,0.057006
0xD5c58B0D819be34b7b8Ff69E76e6A4b5fB912263,1280462642171270039373,1280.462642171270039373,0.056080
0xA5d223c176daAB154a3134369D1C0478c5e6FecF,1271651956203479075027,1271.651956203479075027,0.055694
0xC32b7438b3dF7844c9eE799930a2224Fe6E26426,1253707255589792163286,1253.707255589792163286,0.054908
0xbf93BafD11eaA1bDCc0802FAf95CDF35D19828Ad,1229086156253869509844,1229.086156253869509844,0.053830
0xeEb1dC2964e89183c84657a2f0101Ca8B9EbE3Fb,1213419980657819711194,1213.419980657819711194,0.053144
0x0b9B90BCF3fA83A933668e072611AF7805fe84Ad,1200365378472823780963,1200.365378472823780963,0.052572
0xE85DBB09A699c0543C363c3f6E51ef0049e3edC5,1148630002286869207454,1148.630002286869207454,0.050306
0x9459EDa837626A5D7f929BAf7d3AC1DF60e26239,1129856747310969708862,1129.856747310969708862,0.049484
0xB1246C58eE52c93876A920E23e5f50F29A9A501F,1098138488934923965537,1098.138488934923965537,0.048095
0xAfE5Eab19dC22D328b67E86dCCB7c2031e0Df0DD,1050886701876994264829,1050.886701876994264829,0.046025
0x31eDd4F7c9160AbdCd7AC3a56A2F7b92C5CbdF39,1047906292987875593325,1047.906292987875593325,0.045895
