Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
B-sdBAL-STABLE;0xDc2Df969EE5E66236B950F5c4c5f8aBe62035df2;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;913.034821;53.905752;4.04
B-rETH-STABLE;0x79ef6103a513951a3b25743db509e267685726b7;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;5950.790501;619.477448;46.46
maticX-WMATIC-BPT;0x9965713498c74aee49cef80b2195461f188f24f8;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;812.563765;84.587909;6.34
bb-WETH-wstETH;0xf8c85bd74fee26831336b51a90587145391a27ba;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1430.510990;148.916232;11.17
50WETH-50AURA;0x275df57d2b23d53e20322b4bb71bf1dcb21d0a00;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;3255.347010;133.084355;9.98
B-auraBAL-STABLE;0x0312aa8d0ba4a1969fddb382235870bf55f7f242;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;2787.185238;113.945072;8.54
B-rETH-STABLE;0x79ef6103a513951a3b25743db509e267685726b7;RPL;0xd33526068d116ce69f19a9ee46f0bd304f21a51f;144.020583;179.562150;13.47
