Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
B-sdBAL-STABLE;0xDc2Df969EE5E66236B950F5c4c5f8aBe62035df2;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;2418.714092;192.838003;9.89
50WETH-50AURA;0x275df57d2b23d53e20322b4bb71bf1dcb21d0a00;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;1808.189712;98.318168;5.04
B-auraBAL-STABLE;0x0312aa8d0ba4a1969fddb382235870bf55f7f242;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;2899.615414;157.663145;8.09
sUSDX/USDX;0x0d1b58fb1fc10f2160178de1eae2d520335ee372;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;57.760867;12.021211;0.62
ezETH/wstETH;0xcd41bc6dc6e9821c4c36848ff3397493e458a5d1;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;536.615406;111.680576;5.73
rETH/wETH BPT;0xf8a95653cc7ee59afa2304dcc518c431a15c292c;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;191.755354;39.908188;2.05
sAVAX-WAVAX-BPT;0x1e916950a659da9813ee34479bff04c732e03deb;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;417.614734;86.914117;4.46
maticX-WMATIC-BPT;0x9965713498c74aee49cef80b2195461f188f24f8;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;43.225434;8.996092;0.46
20WETH-80IMO;0x5b5bad6a124c5f45b4289908ba15ff0047928648;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;484.434441;100.820656;5.17
B-rETH-STABLE;0x79ef6103a513951a3b25743db509e267685726b7;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;738.787717;153.756745;7.89
wstETH-WETH-BPT;0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;268.558247;55.892431;2.87
ETHx/wstETH;0xac08fde28aa2d123b61a5db3074caf72760ffeeb;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;45.638882;9.498379;0.49
Aave GHO/USDT/USDC;0x9b237fa1958e3022464343137738926d38815801;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;495.000093;103.019583;5.29
yUSD-AaveUSDC;0x9172ad6a79cd6a25f60b1312262ec51219e05f6d;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;521.598795;108.555314;5.57
Aave USDC-Aave GHO;0x1da19f38eb6f2c22199dc0848118b26095c29aed;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;339.034306;70.559932;3.62
waWstETH-waWETH;0xfd151734ffc9a4a55c50fed4b66c15b06bbb390b;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;60.136742;12.515679;0.64
aGNO/sDAI;0x5c36197a631649441649028110fa503a3be00162;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;476.435846;99.155986;5.09
B-csUSDC-csUSDL;0x5bbaed1fadc08c5fb3e4ae3c8848777e2da77103;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;244.338234;50.851754;2.61
osETH-waWETH;0x70a1c01902dab7a45dca1098ca76a8314dd8adba;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;676.383440;140.769146;7.22
Aave PyUSD-Lido GHO;0x6c0a4550c575c917435f228d36939125a437a98b;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;175.958132;36.620465;1.88
Aave GHO/USDT/USDC;0x9fdd52efeb601e4bc78b89c6490505b8ac637e9f;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;1082.961861;225.386381;11.56
Aave Lido wETH-wstETH;0x4b891340b51889f438a03dc0e8aaafb0bc89e7a6;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;352.527725;73.368187;3.76
