Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
FRAX+USDC ;0xCFc25170633581Bf896CB6CDeE170e3E3Aa59503;WFRAX;0x04ACaF8D2865c0714F79da09645C13FD2888977f;836.512825;1684.591807;0.79
WETH+SPC ;0x46b17b13490fF4dcd435d5d06f9Bf8649e2911Aa;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;79.129640;629.769545;0.30
WBTC+cbBTC+hemiBTC ;0xeCBcF829742987c0600e0ee1117a32d09451882E;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;285.314097;2270.731033;1.07
OUSD+msUSD ;0x35e4B1Bc8818fc098EFcf9AD9784B28d8B4Bf639;OUSD;0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86;12.649922;100.598604;0.05
OUSD+msUSD ;0x35e4B1Bc8818fc098EFcf9AD9784B28d8B4Bf639;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;96.144095;765.182592;0.36
sdUSD+frxUSD ;0x1211B5cB09Ba1aDa8F11de757d5a13C5CA407162;WFRAX;0x04ACaF8D2865c0714F79da09645C13FD2888977f;179.783758;362.053321;0.17
VUSD+hemiBTC ;0x5B933Fc47431795a0c2eb8D183BEAE9722e1fD83;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;206.410412;1642.759796;0.77
frxUSD+VUSD ;0x766752eFbE71Ba7897B205B53EfBd34EC85CA0Cf;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;79.039258;629.050221;0.30
frxUSD+VUSD ;0x766752eFbE71Ba7897B205B53EfBd34EC85CA0Cf;WFRAX;0x04ACaF8D2865c0714F79da09645C13FD2888977f;184.268630;371.085075;0.17
VUSD+msUSD ;0x28a72343bFf5e10b36E72d86b1041ED2447Dc0Cc;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;167.568650;1333.629629;0.63
crvUSD+sVUSD ;0x543c88e9B7Bd90a4C14A31bdbf41dD509Ab666eD;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;78.745515;626.712408;0.30
VUSD+crvUSD ;0x737e7700e03A8c451C9B72103554a40760F1B57A;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;367.607114;2925.676965;1.38
frxUSD+msUSD ;0x6a253c9fe5AaFF662e072Aa694CE53b917aDb278;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;6435.937658;51221.736027;24.13
frxUSD+msUSD ;0x6a253c9fe5AaFF662e072Aa694CE53b917aDb278;frxUSD;0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29;1230.372826;9512.339894;4.48
msETH+WETH ;0x4e227d29b33B77113F84bcC189a6F886755a1f24;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;4598.195826;36595.688976;17.24
msUSD+FRAXBP ;0xd5f2e6612E41bE48461FDBA20061E3c778Fe6EC4;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;539.943428;4297.251031;2.02
frxUSD+USG ;0x39b1df92f9485A73cAdF4846aBDe59eac0901A94;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;623.162863;4959.570053;2.34
frxUSD+USG ;0x39b1df92f9485A73cAdF4846aBDe59eac0901A94;frxUSD;0xCAcd6fd266aF91b8AeD52aCCc382b4e165586E29;184.789883;1428.659784;0.67
