Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
Convex stkcvxeUSDFRAXBP;0x4c9AD8c53d0a001E7fF08a3E5E26dE6795bEA5ac;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;50.884121;52.237166;36.48
FLE FRAX/FXS [Fraxtal];0x83Dc6775c1B0fc7AaA46680D78B04b4a3d4f5650;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;50.680541;52.028172;36.33
FLE FXS/wfrxETH [Fraxtal];0x6f82A6551cc351Bc295602C3ea99C78EdACF590C;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;37.922415;38.930799;27.19
