Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
Convex stkcvxfrxETHWETH;0xB4fdD7444E1d86b2035c97124C46b1528802DA35;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;321.206347;346.950313;86.50
FLE FRAX/FXS [Fraxtal];0x83Dc6775c1B0fc7AaA46680D78B04b4a3d4f5650;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;9.575647;10.343113;2.58
FLE FXS/wfrxETH [Fraxtal];0x6f82A6551cc351Bc295602C3ea99C78EdACF590C;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;40.542781;43.792194;10.92
