Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
B-sdBAL-STABLE;0xDc2Df969EE5E66236B950F5c4c5f8aBe62035df2;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;1586.833833;94.496655;6.67
50WETH-50AURA;0x275df57d2b23d53e20322b4bb71bf1dcb21d0a00;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;8588.738846;334.503400;23.61
B-auraBAL-STABLE;0x0312aa8d0ba4a1969fddb382235870bf55f7f242;AURA;0xc0c293ce456ff0ed870add98a0828dd4d2903dbf;11873.662524;462.440477;32.64
rETH/wETH BPT;0xf8a95653cc7ee59afa2304dcc518c431a15c292c;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;343.416574;87.057971;6.15
sAVAX-WAVAX-BPT;0x1e916950a659da9813ee34479bff04c732e03deb;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;97.423785;24.697460;1.74
20WETH-80IMO;0x5b5bad6a124c5f45b4289908ba15ff0047928648;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;36.596938;9.277523;0.65
tETH/wstETH;0xf697535848b535900c76f70f1e36ec3985d27862;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;325.183971;82.435907;5.82
ETHx/wstETH;0xac08fde28aa2d123b61a5db3074caf72760ffeeb;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;183.562486;46.534090;3.28
uniETH-WETH;0xe77d45b5de97ac7717e4ede6be16e3d805ff02a5;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;23.373248;5.925246;0.42
20WETH-80ALCX;0x183d73da7adc5011ec3c46e33bb50271e59ec976;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;120.963703;30.664957;2.16
ECLP-stdeUSD-deUSD;0xa00db7d9c465e95e4aa814a9340b9a161364470a;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;18.257078;4.628269;0.33
Surge eK3 savUSD-USDT;0xa7165e1e3defe55dada5c4289268d57faba6dad2;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;231.426865;58.667970;4.14
aWAVAX-aSAVAX-ggAVAX;0x5c13c3b72b031b6405046c319b2d840d3c1403c7;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;84.815935;21.501301;1.52
Aave Lido wETH-wstETH;0x4b891340b51889f438a03dc0e8aaafb0bc89e7a6;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;275.247422;69.776720;4.93
Aave GHO-USR;0x1b7e33186c7e9c337508bb65ea9dc498ab14fcae;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;129.268027;32.770149;2.31
Surge sUSDX USDX aUSDT;0xeb312b0d7795743c3de905bc09c0d62aa180a7a6;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;202.246824;51.270671;3.62
