Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
cake;ETH-rswETH / Ethereum;0x7B94A5622035207d3f527d236d47B7714Ee0acBa;Tether USD;0x55d398326f99059ff775485246999027b3197955;2670.355;857.347;17.358
cake;DOLA-USDC / Base;0x2163A4989B42748f28510CDDeC7a335ab656bB99;USD Coin;0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d;883.931;283.429;5.738
cake;INSP-WETH / Ethereum;0xBC7766aE74f38f251683633d50Cc2C1CD14aF948;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;18829.706;318.274;6.444
cake;INSP-USDT / Ethereum;0xEd4D5317823Ff7BC8BB868C1612Bb270a8311179;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;9557.204;161.543;3.271
cake;BNB-USDT / BNB Smart Chain;0x172fcD41E0913e95784454622d1c3724f546f849;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;536.55;717.765;14.532
cake;CAKE-USDT / BNB Smart Chain;0x7f51c8AaA6B0599aBd16674e2b17FEc7a9f674A1;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;1129.946;1511.576;30.604
cake;CAKE-BNB (Truely : Kima-USDT);0x133B3D95bAD5405d14d53473671200e9342896BF;Tether USD;0x55d398326f99059ff775485246999027b3197955;906.152;290.93;5.89
cake;WETH-DEGEN / Base;0x5308a901E12995f9ebbD76A82712FD4AF97325BF;Stake DAO CAKE;0x6a1c1447f97b27da23dc52802f5f1435b5ac821a;798.328;798.328;16.163

