Protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol;Share %
cake;SDT-WBNB / BNB Smart Chain;0x52b59E3eAdc7C4ce8d3533020ca0Cd770E4eAbC3;Tether USD;0x55d398326f99059ff775485246999027b3197955;288.642;93.698;7.525;
cake;sdCAKE-CAKE / BNB Smart Chain;0xB1D54d76E2cB9425Ec9c018538cc531440b55dbB;Tether USD;0x55d398326f99059ff775485246999027b3197955;726.623;235.875;18.944;
cake;PEPE-WBNB / BNB Smart Chain;0xdD82975ab85E745c84e497FD75ba409Ec02d4739;Pepe;0x25d887ce7a35172c62febfd67a1856f20faebb00;6799343.723;31.851;2.558;
cake;INSP-WETH / Ethereum;0xBC7766aE74f38f251683633d50Cc2C1CD14aF948;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;12468.057;311.83;25.045;
cake;INSP-USDT / Ethereum;0xEd4D5317823Ff7BC8BB868C1612Bb270a8311179;INSPECT;0x8d279274789ccec8af94a430a5996eaace9609a9;6102.987;152.638;12.259;
cake;BNB-USDT / BNB Smart Chain;0x172fcD41E0913e95784454622d1c3724f546f849;PancakeSwap Token;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;424.258;419.2;33.668;
curve;arbi-CRV+asdCRV+vsdCRV ;0x25E822B65a58Ce1A53DbC327d4fA489351FB1Df0;Stake DAO CRV;0xD1b5651E55D4CeeD36251c61c50C889B36F6abB5;11553.0;11553.0;100.0;
cake;USD+-ARB 0.01 V3;0xf92768916015b5eBd9fa54D6BA10dA5864e24914;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;1563.0;1563.0;24.81;
cake;USD+-USDC 0.01 V3;0xa1F9159e11aD48524c16C9bf10bf440815b03e6C;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;763.62;763.0;12.12;
cake;USD+-USDC 0.05 V3;0x8a06339Abd7499Af755DF585738ebf43D5D62B94;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;2453.14;2453.0;38.94;
cake;USD+-WETH 0.01 V3;0xe37304F7489ed253b2A46A1d9DabDcA3d311D22E;Stake DAO CAKE;0x6a1c1447F97B27dA23dC52802F5f1435b5aC821A;1520.0;1520.0;24.13;
pendle-1714003200;Zircuit - USDe (Zircuit) Pool - 27JUN 2024;0x90c98ab215498b72abfec04c651e2e496ba364c0;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;2.256;2472.012;;9.0
pendle-1714003200;Ethena - USDe Pool - 25JUL 2024;0x7dc07c575a0c512422dcab82ce9ed74db58be30c;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;3.399;3723.748;;13.0
pendle-1714608000;Ethena - sUSDe Pool - 25JUL 2024;0x107a2e3cd2bb9a32b9ee2e4d51143149f8367eba;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;3.528;3865.385;;14.0
pendle-1714608000;Zircuit - ezETH (Zircuit) Pool  - 27JUN 2024;0xd7e0809998693fd87e81d51de1619fd0ee658031;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.122;133.144;;0.0
pendle-1714608000;Renzo - ezETH Pool - 27JUN 2024;0x5e03c94fc5fb2e21882000a96df0b63d2c4312e2;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.115;125.861;;0.0
pendle-1714608000;Kelp - rsETH Pool - 27JUN 2024;0x6ae79089b2cf4be441480801bb741a531d94312b;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.284;311.459;;1.0
pendle-1714608000;Ether.fi - eETH Pool - 27JUN 2024;0x952083cde7aaa11ab8449057f7de23a970aa8472;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.152;166.569;;0.0
pendle-1715212800;Ethena - sUSDe Pool - 25JUL 2024;0x107a2e3cd2bb9a32b9ee2e4d51143149f8367eba;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;2.632;2882.968;;10.0
pendle-1715212800;Zircuit - ezETH (Zircuit) Pool  - 27JUN 2024;0xd7e0809998693fd87e81d51de1619fd0ee658031;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.122;133.453;;0.0
pendle-1715212800;Renzo - ezETH Pool - 27JUN 2024;0x5e03c94fc5fb2e21882000a96df0b63d2c4312e2;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.084;92.31;;0.0
pendle-1715212800;Kelp - rsETH Pool - 27JUN 2024;0x6ae79089b2cf4be441480801bb741a531d94312b;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.172;188.023;;0.0
pendle-1715212800;Ether.fi - eETH Pool - 27JUN 2024;0x952083cde7aaa11ab8449057f7de23a970aa8472;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.224;245.083;;0.0
pendle-1715817600;Ethena - sUSDe Pool - 25JUL 2024;0x107a2e3cd2bb9a32b9ee2e4d51143149f8367eba;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;10.286;11268.858;;41.0
pendle-1715817600;Ethena - USDe Pool - 29AUG 2024;0x2dfaf9a5e4f293bceede49f2dba29aacdd88e0c4;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0.116;126.838;;0.0
pendle-1716422400;Ethena - sUSDe Pool - 25JUL 2024;0x107a2e3cd2bb9a32b9ee2e4d51143149f8367eba;WETH;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;1.247;1366.103;;5.0
