Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
FXN+sdFXN;0x5b1D12365BEc01b8b672eE45912d1bbc86305dba;SDT;0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F;259.958818;1.090727;1.64
MIM+fxUSD;0xDF7fbDBAE50C7931a11765FAEd9fe1A002605B55;SPELL;0x090185f2135308BaD17527004364eBcC2D37e5F6;2918250.997093;23.992282;36.01
DOLA+fxUSD;0x61F32964C39Cca4353144A6DB2F8Efdb3216b35B;INV;0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68;97.694195;39.543357;59.36
GHO+fxUSD;0xf0A3ECed42Dbd8353569639c0eaa833857aA0A75;GHO;0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f;117.063975;1.993190;2.99
