Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
RDNT-WETH;0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;194.060440;352.464091;36.00
Aave GHO/USDT/USDC;0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;53.345500;96.889264;9.90
Surge tETH-Lido wstETH;0xd5A0Eb558d62780B10Ecc202D0049B89F6145073;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;12.099146;21.975187;2.24
EURe-Aave USDC;0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;221.618796;402.517213;41.12
Aave GHO/USDT/USDC;0x9b237fA1958E3022464343137738926d38815801;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;6.704176;12.176522;1.24
80TREE-20AavePrimeWETH;0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;34.714575;63.050672;6.44
Aave USDC-Aave GHO;0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;16.477300;29.927050;3.06
